Manufacturer,Type,Cylinders,Model_Year,Model_Price,Sold_Year,Sale_Price,KM_Driven,KPL,Power,Class,Location,Accident_History,Owner_History,Color,Seller_Type,Service_History
BeEmW,suv,4,1996,,2001,"42,791 SAR",205228,5.31,2WD,STANDARD,Madinah,6,3,Blue,individual,1
Nesshan,sedan,8,2006,"56,009 SAR",2010,"34,610 SAR",156570,11.28,2WD,standard,Madinah,3,-2,Black,individual,1
Fourd,crossover,4,2004,"108,530 SAR",2012,"27,837 SAR",134971,7.85,4WD,standard,Riyadh,5,2,Blue,company,0
JournalMotors,crossover,4,2001,"85,225 SAR",2007,"36,433 SAR",47227,7.46,2WD,standard,Riyadh,11,2,Gray,individual,0
JournalMotors,suv,6,2006,"117,620 SAR",2009,"66,372 SAR",56995,2.41,2WD,standard,Dammam,10,-5,Black,individual,0
Nesshan,sedan,6,2001,,2003,"58,792 SAR",33957,12.42,4WD,premium,Makkah,5,1,Black,individual,0
Fourd,crossover,4,2007,"115,173 SAR",2010,"64,992 SAR",60857,3.72,4WD,standard,Dhahran,6,3,Black,company,0
Shevy,crossover,4,2000,"83,554 SAR",2005,"39,005 SAR",109060,6.68,2WD,standard,Jeddah,8,2,Red,individual,1
Toyoda,crossover,4,2000,"100,265 SAR",2008,"34,245 SAR",144648,16.29,2WD,premium,Dammam,14,2,White,individual,0
JournalMotors,crossover,6,2004,"108,530 SAR",2008,"57,485 SAR",65542,4.92,4WD,standard,Riyadh,5,3,White Color,company,1
Shevy,sedan,8,2004,,2008,"40,031 SAR",151367,6.14,2WD,STANDARD,Makkah,2,4,White,company,1
Nesshan,sedan,4,2005,,2010,"26,713 SAR",260341,21.66,2WD,standard,Jeddah,4,-5,White,individual,0
Nesshan,suv,6,2001,,2006,"52,349 SAR",107690,10140.0mpl,2WD,premium,Dhahran,7,2,Black,individual,0
Nesshan,sedan,6,1998,,2004,"34,246 SAR",221828,14.1,4WD,premium,Jeddah,5,4,White,individual,0
JournalMotors,crossover,4,1999,,2008,"23,346 SAR",68449,4.59,2WD,STANDARD,Riyadh,2,3,White,individual,0
Fourd,crossover,4,2009,"99,855 SAR",2012,"56,348 SAR",33982,7.22,2WD,standard,Makkah,7,2,Silver,individual,0
Fourd,suv,8,1999,,2005,"73,356 SAR",243968,3.14,4WD,premium,Makkah,4,1,White,individual,1
Masda,suv,4,1999,"87,767 SAR",2001,"60,107 SAR",77263,15180.0mpl,4WD,standard,Riyadh,4,-5,Brown,individual,0
Nesshan,suv,4,1999,,2001,"47,932 SAR",83656,9.88,2WD,standard,Riyadh,6,3,Silver,individual,0
Toyoda,suv,4,2004,,2009,"85,182 SAR",107807,13.52,2WD,premium,Dhahran,3,3,Silver,individual,1
Geep,suv,6,2004,"135,663 SAR",2009,"57,299 SAR",221803,2.74,4WD,standard,Jeddah,7,3,Red,individual,0
Honta,suv,4,2005,"82,367 SAR",2012,"43,242 SAR",136669,13.8,2WD,STANDARD,Riyadh,3,2,White,individual,0
Masda,suv,4,2000,"74,602 SAR",2002,"54,037 SAR",37576,10.03,2WD,STANDARD,Madinah,12,-2,Silver Color,individual,1
Shevy,sedan,4,2004,,2012,"19,331 SAR",81882,4.05,2WD,STANDARD,Dammam,8,1,Black,individual,0
