Manufacturer,Type,Cylinders,Model_Year,Model_Price,Sold_Year,Sale_Price,KM_Driven,KPL,Power,Class,Location,Accident_History,Owner_History,Color,Seller_Type,Service_History
Huendae,crossover,4,2008,"83,912 SAR",2016,"25,110 SAR",325624,14.29,4WD,standard,Dammam,2,2,Black,individual,0
Nesshan,crossover,4,2005,"79,072 SAR",2008,"63,290 SAR",36118,17.24,4WD,standard,Madinah,2,1,Black,individual,1
Wolksvagon,sedan,6,2006,"67,211 SAR",2011,"36,172 SAR",97904,10.25,2WD,standard,Madinah,5,2,White,individual,0
JournalMotors,suv,8,2004,"113,052 SAR",2007,"60,605 SAR",110697,2.64,2WD,standard,Madinah,14,3,Gray,individual,0
Fourd,sedan,8,2001,"71,021 SAR",2006,"31,575 SAR",47225,5.48,2WD,standard,Riyadh,11,2,Red,individual,0
Shevy,crossover,4,1997,"94,482 SAR",2001,"47,661 SAR",35775,6.65,4WD,standard,Riyadh,12,2,Black,individual,0
JournalMotors,suv,4,2007,"143,967 SAR",2011,"72,624 SAR",44685,5.04,4WD,standard,Dammam,5,1,White,individual,0
JournalMotors,sedan,4,2002,"86,930 SAR",2003,"66,066 SAR",11947,9.28,4WD,standard,Makkah,3,1,Black,individual,0
Huendae,suv,4,2004,"80,752 SAR",2008,"49,525 SAR",34506,18.52,2WD,standard,Makkah,6,3,Blue,individual,0
Masda,sedan,8,1996,"45,947 SAR",2001,"22,578 SAR",102886,7.72,2WD,standard,Makkah,12,1,Gray,individual,0
Honta,suv,4,2005,"98,840 SAR",2005,"70,613 SAR",794,13.03,4WD,standard,Madinah,8,2,Black,company,1
Toyoda,suv,4,2000,"89,522 SAR",2003,"67,947 SAR",32433,14.51,2WD,standard,Riyadh,2,2,White,individual,0
Nesshan,crossover,4,1997,"78,735 SAR",2005,"22,159 SAR",369990,17.2,2WD,premium,Dammam,6,4,Brown,individual,0
Honta,suv,4,2005,"82,367 SAR",2008,"51,372 SAR",71736,11.37,2WD,standard,Madinah,7,2,Red,individual,0
Geep,sedan,4,2003,"73,890 SAR",2009,"28,508 SAR",277530,5.29,2WD,standard,Dhahran,12,4,Brown,company,0
Huendae,suv,8,2006,"84,014 SAR",2013,"39,696 SAR",132872,6.91,2WD,standard,Riyadh,4,3,Red,individual,0
Fourd,sedan,8,2004,"75,368 SAR",2009,"35,184 SAR",116392,3.39,2WD,standard,Jeddah,10,1,White,individual,1
Geep,suv,8,2001,"127,838 SAR",2004,"68,532 SAR",149597,5.14,4WD,standard,Makkah,6,1,Black,individual,0
Toyoda,suv,4,2008,"104,890 SAR",2012,"64,051 SAR",71650,12.93,2WD,standard,Dhahran,6,1,Black,individual,0
Shevy,sedan,8,1996,"77,191 SAR",2003,"32,999 SAR",82075,6.48,4WD,standard,Riyadh,10,3,Silver,individual,0
JournalMotors,suv,4,1999,"102,395 SAR",2005,"48,637 SAR",62486,3.09,2WD,standard,Jeddah,3,1,Gray,individual,0
Shevy,crossover,6,2004,"90,442 SAR",2012,"22,038 SAR",359864,6.26,2WD,standard,Makkah,12,3,Red,individual,0
Fourd,crossover,4,1996,"92,630 SAR",2002,"39,599 SAR",118493,5.1,4WD,standard,Jeddah,4,1,White,individual,0
Fourd,sedan,4,2002,"72,441 SAR",2006,"38,573 SAR",66498,8.9,2WD,standard,Riyadh,2,4,Silver,individual,0
Toyoda,crossover,8,2002,"74,511 SAR",2008,"38,559 SAR",73557,7.49,2WD,standard,Dammam,6,2,White,individual,0
Geep,crossover,8,1992,"99,838 SAR",1997,"51,785 SAR",92114,2.93,2WD,premium,Dhahran,3,3,Blue,individual,1
