Manufacturer,Type,Cylinders,Model_Year,Model_Price,Sold_Year,Sale_Price,KM_Driven,KPL,Power,Class,Location,Accident_History,Owner_History,Color,Seller_Type,Service_History
Nesshan,suv,4,1995,"94,597 SAR",2002,"49,166 SAR",53377,15.99,2WD,premium,Dammam,10,2,White,individual,0
Masda,crossover,4,2008,"69,926 SAR",2015,"33,040 SAR",109661,14.42,2WD,standard,Dammam,5,1,Silver,individual,0
Shevy,suv,4,1998,"168,651 SAR",2002,"84,863 SAR",179395,4.53,4WD,premium,Madinah,5,2,Gray,individual,1
Shevy,suv,4,2006,"117,620 SAR",2008,"73,412 SAR",42673,7.02,2WD,standard,Madinah,4,1,Red,company,0
JournalMotors,crossover,8,2001,"85,225 SAR",2006,"35,996 SAR",197152,4.82,2WD,standard,Jeddah,8,3,Black,individual,0
Honta,sedan,6,2000,"49,734 SAR",2004,"33,891 SAR",84591,15.27,2WD,standard,Dammam,1,1,White,company,0
Fourd,suv,4,2002,"108,662 SAR",2005,"68,131 SAR",62503,5.57,2WD,standard,Dhahran,0,3,Black,company,0
Toyoda,sedan,4,1998,"80,310 SAR",1999,"73,146 SAR",21417,16.25,2WD,premium,Madinah,7,2,Blue,individual,0
JournalMotors,sedan,4,2002,"86,930 SAR",2006,"43,742 SAR",195195,8.3,4WD,standard,Riyadh,4,3,Black,individual,1
Nesshan,sedan,4,2003,"52,779 SAR",2004,"43,891 SAR",8216,23.19,2WD,standard,Makkah,5,3,Silver,company,0
Honta,suv,4,2003,"79,168 SAR",2008,"36,957 SAR",200620,11.95,2WD,standard,Dammam,7,2,Black,individual,0
JournalMotors,suv,6,2001,"106,532 SAR",2004,"66,795 SAR",15804,5.07,2WD,standard,Madinah,3,2,Blue,individual,0
Toyoda,suv,6,2006,"100,817 SAR",2012,"52,172 SAR",109596,7.41,2WD,standard,Madinah,10,1,White,company,0
Geep,suv,4,2003,"133,003 SAR",2005,"87,625 SAR",64873,4.97,4WD,standard,Makkah,1,2,Gray,individual,0
Fourd,suv,4,2004,"135,663 SAR",2010,"67,661 SAR",78619,6.05,4WD,standard,Madinah,0,2,Black,company,1
Shevy,suv,6,2004,"113,052 SAR",2010,"45,913 SAR",230391,3.16,2WD,standard,Jeddah,9,3,Red,individual,0
JournalMotors,suv,6,2001,"106,532 SAR",2001,"65,581 SAR",1033,3.98,2WD,standard,Dammam,6,1,Gray,individual,0
Shevy,suv,6,1999,"122,874 SAR",2005,"55,155 SAR",52727,5.37,4WD,standard,Dhahran,5,2,Red,individual,1
Nesshan,crossover,6,1999,"58,511 SAR",2003,"34,253 SAR",80585,10.54,2WD,standard,Madinah,4,1,Red,individual,1
Nesshan,crossover,6,2003,"76,001 SAR",2008,"35,479 SAR",211001,14.35,4WD,standard,Makkah,8,3,Silver,individual,0
JournalMotors,sedan,6,2004,"90,442 SAR",2006,"59,585 SAR",93943,10.35,4WD,standard,Riyadh,3,3,Black,individual,0
Fourd,sedan,4,2001,"119,316 SAR",2006,"55,700 SAR",48770,6.96,4WD,premium,Madinah,6,2,Black,individual,1
Wolksvagon,crossover,4,2000,"85,942 SAR",2006,"51,887 SAR",128585,13.6,4WD,standard,Riyadh,3,3,Silver,individual,1
BeEmW,suv,4,1994,"155,807 SAR",1998,"82,526 SAR",42676,6.33,4WD,premium,Jeddah,12,2,Silver,individual,1
JournalMotors,crossover,4,1992,"71,313 SAR",1997,"31,705 SAR",61987,3.41,2WD,standard,Madinah,13,3,Black,individual,0
Honta,crossover,6,2004,"64,601 SAR",2009,"31,665 SAR",205549,11.84,2WD,standard,Jeddah,7,3,White,individual,1
Honta,suv,4,2003,"79,168 SAR",2007,"44,140 SAR",68781,14.35,2WD,standard,Makkah,5,1,White,individual,0
Toyoda,crossover,4,2001,"73,050 SAR",2006,"41,084 SAR",49173,15.09,2WD,standard,Madinah,5,4,Black,individual,0
JournalMotors,sedan,4,2004,"75,368 SAR",2007,"42,530 SAR",68394,4.85,2WD,standard,Dhahran,11,2,Gray,individual,0
JournalMotors,suv,4,2006,"117,620 SAR",2007,"76,429 SAR",21765,3.83,2WD,standard,Dammam,6,4,Silver,individual,0
Shevy,sedan,4,1995,"63,065 SAR",2002,"29,880 SAR",289570,8.66,2WD,standard,Jeddah,3,2,Silver,company,1
Toyoda,suv,4,2002,"93,139 SAR",2002,"69,407 SAR",684,9.33,2WD,standard,Riyadh,5,2,Black,individual,0
Fourd,suv,8,1993,"90,924 SAR",2001,"23,322 SAR",92327,3.71,2WD,standard,Makkah,6,2,Gray,company,0
Toyoda,suv,4,2004,"162,796 SAR",2011,"88,927 SAR",318967,10.23,4WD,premium,Madinah,2,2,Brown,individual,0
Toyoda,suv,8,1997,"84,359 SAR",2003,"43,655 SAR",123230,8.18,2WD,standard,Jeddah,4,2,White,individual,0
Toyoda,sedan,4,1995,"64,866 SAR",1999,"45,992 SAR",91432,17.34,4WD,standard,Riyadh,3,4,Black,individual,0
Huendae,crossover,4,2001,"60,875 SAR",2006,"36,561 SAR",111721,16.1,2WD,standard,Dhahran,2,1,Black,individual,0
Wolksvagon,suv,4,1998,"103,255 SAR",2004,"53,434 SAR",66733,12.35,4WD,standard,Riyadh,5,2,Silver,company,0
Shevy,sedan,4,2004,"75,368 SAR",2010,"33,830 SAR",108258,6.38,2WD,standard,Makkah,12,2,Blue,individual,1
Shevy,sedan,4,1997,"78,735 SAR",2003,"33,659 SAR",108649,5.6,4WD,standard,Dhahran,6,1,Silver,company,0
Masda,sedan,8,1995,"54,055 SAR",2004,"15,324 SAR",160611,11.1,4WD,standard,Jeddah,5,3,White,individual,0
Masda,sedan,8,1996,"45,947 SAR",2001,"25,024 SAR",44759,7.65,2WD,standard,Madinah,3,4,Red,company,1
Masda,sedan,4,1994,"52,995 SAR",1998,"29,547 SAR",53506,12.7,4WD,standard,Madinah,11,1,Black,individual,0
Honta,crossover,6,2005,"65,893 SAR",2011,"34,247 SAR",62298,16.66,2WD,standard,Dhahran,6,1,Gray,individual,0
Honta,sedan,4,1998,"47,803 SAR",2000,"36,274 SAR",34910,23.25,2WD,standard,Dammam,5,1,Gray,individual,0
Shevy,suv,4,1999,"102,395 SAR",2002,"54,892 SAR",114246,3.16,2WD,standard,Makkah,6,2,Black,individual,0
Shevy,sedan,4,1994,"61,828 SAR",1999,"27,488 SAR",66303,13.53,2WD,standard,Madinah,10,2,Silver,individual,0
Shevy,sedan,4,2006,"78,413 SAR",2009,"49,164 SAR",60760,7.18,2WD,standard,Madinah,2,2,Red,company,0
Masda,crossover,6,2002,"62,093 SAR",2010,"17,603 SAR",162385,8.86,2WD,standard,Dhahran,6,3,Gray,individual,0
Fourd,suv,6,2004,"113,052 SAR",2005,"85,919 SAR",23650,2.26,2WD,standard,Jeddah,1,2,White,individual,0
Toyoda,sedan,4,2006,"67,211 SAR",2012,"38,259 SAR",124699,16.34,2WD,standard,Riyadh,5,1,White,individual,0
Honta,sedan,4,2001,"50,729 SAR",2009,"16,698 SAR",323620,18.2,2WD,standard,Dhahran,2,1,Gray,individual,0
Huendae,sedan,4,1994,"44,163 SAR",2001,"22,953 SAR",122517,24.3,2WD,standard,Jeddah,7,1,Black,individual,0
Shevy,sedan,6,2005,"107,626 SAR",2009,"57,006 SAR",80165,3.3,2WD,premium,Jeddah,4,1,Black,individual,1
Shevy,sedan,4,2008,"81,581 SAR",2011,"48,337 SAR",29145,7.99,2WD,standard,Dammam,5,3,Red,individual,1
JournalMotors,sedan,8,1992,"71,313 SAR",1997,"31,705 SAR",99990,3.31,4WD,standard,Madinah,10,2,Silver,company,0
BeEmW,suv,4,2005,"115,313 SAR",2010,"53,831 SAR",97222,2.96,2WD,standard,Makkah,4,2,Black,individual,1
JournalMotors,suv,8,1993,"90,924 SAR",1995,"53,912 SAR",72167,3.5,2WD,standard,Madinah,7,1,Black,individual,0
Huendae,sedan,4,1996,"55,136 SAR",1998,"39,747 SAR",68752,15.16,4WD,standard,Dammam,6,2,Black,individual,0
JournalMotors,sedan,4,2001,"71,021 SAR",2004,"40,077 SAR",50646,13.56,2WD,standard,Dammam,6,2,White,individual,0
BeEmW,suv,4,2002,"108,662 SAR",2006,"54,814 SAR",50490,6.24,2WD,standard,Makkah,5,2,Blue,individual,0
Shevy,sedan,4,1996,"64,326 SAR",1999,"32,759 SAR",132889,8.16,2WD,standard,Dammam,10,4,White,individual,0
Shevy,suv,4,2001,"127,838 SAR",2008,"57,383 SAR",161215,5.29,4WD,standard,Makkah,4,1,White,individual,1
Shevy,suv,4,2003,"110,836 SAR",2006,"59,417 SAR",53586,8.88,2WD,standard,Dhahran,9,4,Gray,individual,0
JournalMotors,suv,4,2005,"115,313 SAR",2009,"61,078 SAR",52602,5.29,2WD,standard,Jeddah,11,3,Black,company,1
JournalMotors,sedan,8,2003,"103,447 SAR",2011,"30,956 SAR",105489,4.19,2WD,premium,Makkah,3,1,White,company,1
Toyoda,crossover,4,2003,"76,001 SAR",2010,"45,426 SAR",84244,16.46,2WD,standard,Jeddah,4,1,White,individual,1
Shevy,sedan,6,2001,"71,021 SAR",2004,"42,303 SAR",67737,10.34,2WD,standard,Dhahran,3,4,Silver,individual,0
JournalMotors,crossover,4,2007,"134,369 SAR",2008,"91,678 SAR",47242,6.07,2WD,premium,Madinah,12,2,Blue,company,1
Toyoda,suv,8,2003,"95,002 SAR",2005,"71,599 SAR",77757,6.33,2WD,standard,Jeddah,14,1,Silver,individual,1
Shevy,suv,4,2006,"117,620 SAR",2012,"50,282 SAR",117961,3.42,2WD,standard,Dhahran,4,2,Silver,individual,0
JournalMotors,suv,4,1994,"92,742 SAR",1997,"52,334 SAR",25029,3.95,2WD,standard,Jeddah,9,1,White,individual,0
Fourd,suv,6,2006,"197,602 SAR",2008,"123,333 SAR",21264,5.02,4WD,premium,Jeddah,9,3,White,individual,0
Shevy,sedan,4,2007,"79,981 SAR",2013,"36,091 SAR",264298,5.78,2WD,standard,Jeddah,2,2,Gray,individual,0
